country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Paraguay,nonpoor,0.8,10642.030966005426,0.14778729999999998,1.1639685830481423,29046.14768750099,0.011147640894023201,0.8000000000000004
Paraguay,poor,0.2,1819.9093622782998,0.02127697,0.3441256678074309,4345.579924948132,0.012376719902910883,0.8000000000000004
Peru,nonpoor,0.8,14395.373909095499,0.1674962,1.200944621715529,53182.64219729808,0.0727516580763375,0.6000000000000002
Peru,poor,0.2,2776.466246618,0.05837516,0.19622151313788389,10653.06475988214,0.07033121418878821,0.6000000000000002
Philippines,nonpoor,0.8,8448.575305766099,0.21633840000000001,1.1811875212876743,30767.456015142187,0.10346075195545702,0.6000000000000002
Philippines,poor,0.2,2388.0341335356,0.04855937,0.2752499148493018,9147.917355171277,0.1027635219010282,0.6000000000000002
Poland,nonpoor,0.8,29903.465403789996,0.28244400000000003,1.1304269024632585,73585.74133650135,0.01843301163836057,1.0
Poland,poor,0.2,10401.20535784,0.09776094,0.47829239014696506,20309.113087993406,0.017508268391009624,1.0
Portugal,nonpoor,0.8,31564.284316269368,0.3085544,1.150462153497574,168146.21238396116,0.010536985575676576,0.8000000000000004
Portugal,poor,0.2,8777.2341414225,0.160451,0.39815138600970307,37217.30562504707,0.01135823269155609,0.8000000000000004
Romania,nonpoor,0.8,24651.4424217705,0.18426589999999998,1.102009310049467,94250.51516604252,0.01380668551377493,0.8000000000000004
Romania,poor,0.2,9633.274974918,0.05571223,0.5919627598021319,27255.036951622107,0.014682306103507754,0.8000000000000004
Russian Federation,nonpoor,0.8,27960.263221460504,0.18236010000000002,1.1329139440900653,80658.63452650404,0.01463214875734334,0.0
Russian Federation,poor,0.2,8288.971696158002,0.11406240000000001,0.46834422363973854,21416.874073499177,0.015014918818874208,0.0
